# isin,symbol,name,acgr10_hint
# === Big Tech ===
US0378331005,AAPL,Apple Inc.,0.20
US5949181045,MSFT,Microsoft Corp.,0.22
US02079K3059,GOOGL,Alphabet Inc. (Class C),0.17
US30303M1027,META,Meta Platforms Inc.,0.21
US88160R1014,TSLA,Tesla Inc.,0.26
US2310211063,AMZN,Amazon.com Inc.,0.18
US67066G1040,NVDA,NVIDIA Corp.,0.45
# === Tech Growth ===
US0527691069,ADBE,Adobe Inc.,0.19
US7475251036,QCOM,QUALCOMM Inc.,0.13
US82669G1040,SHOP,Shopify Inc. (US),0.15
US1730168726,AVGO,Broadcom Inc.,0.28
US6541061031,MRVL,Marvell Technology Inc.,0.16
US79466L3024,CRM,Salesforce Inc.,0.18
US64110L1061,NFLX,Netflix Inc.,0.22
US00507V1098,AMD,Advanced Micro Devices Inc.,0.25
US4824801009,KLAC,KLA Corporation,0.20
US5738741041,MARA,Marathon Digital Holdings,0.30
# === Healthcare ===
US5184391044,LLY,Eli Lilly and Co.,0.22
US4781601046,JNJ,Johnson & Johnson,0.08
US58933Y1055,MRK,Merck & Co. Inc.,0.10
US0028241000,ABBV,AbbVie Inc.,0.14
US7170811035,PFE,Pfizer Inc.,0.04
US91324P1021,UNH,UnitedHealth Group Inc.,0.15
# === Finance ===
US46625H1005,JPM,JPMorgan Chase & Co.,0.11
US0605051046,BAC,Bank of America Corp.,0.08
US92826C8394,V,Visa Inc.,0.16
US5801351017,MA,Mastercard Inc.,0.18
US38141G1040,GS,Goldman Sachs Group Inc.,0.10
# === Consumer ===
US1912161007,KO,Coca-Cola Co.,0.08
US7427181091,PG,Procter & Gamble Co.,0.08
US1729674242,PEP,PepsiCo Inc.,0.09
US2546871060,DIS,The Walt Disney Company,0.06
US9311421039,WMT,Walmart Inc.,0.10
US30231G1022,XOM,Exxon Mobil Corp.,0.06
US1667641005,CVX,Chevron Corp.,0.07
US5801351017,MCD,McDonald's Corp.,0.12
US6311011026,NKE,NIKE Inc.,0.10
US8740541094,COST,Costco Wholesale Corp.,0.15
# === Industrial ===
US17275R1023,CSCO,Cisco Systems Inc.,0.08
US0970231058,BA,Boeing Co.,0.02
US2441991054,DE,Deere & Company,0.12
US1101221083,UPS,United Parcel Service Inc.,0.09
# === ETFs S&P 500 ===
US78462F1030,SPY,SPDR S&P 500 ETF Trust,0.12
US9229087691,VOO,Vanguard S&P 500 ETF,0.12
US4642876142,IVV,iShares Core S&P 500 ETF,0.12
# === ETFs Tech ===
US4642872000,QQQ,Invesco QQQ Trust,0.17
US4642871507,XLK,Technology Select Sector SPDR Fund,0.16
US9219088443,VGT,Vanguard Information Technology ETF,0.20
US81369Y7040,SOXX,iShares Semiconductor ETF,0.22
US78464A4094,SMH,VanEck Semiconductor ETF,0.23
# === ETFs Total Market ===
US9229083632,VTI,Vanguard Total Stock Market ETF,0.12
US4642871762,IWM,iShares Russell 2000 ETF,0.09
US9229085538,VB,Small-Cap Index ETF,0.10
# === ETFs Global ===
US9219464066,VT,Vanguard Total World Stock ETF,0.09
US4642882579,ACWI,iShares MSCI ACWI ETF,0.09
US92190A8526,URTH,iShares MSCI World ETF,0.10
# === ETFs Sectors ===
US4642873099,XLY,Consumer Discretionary Select Sector SPDR Fund,0.13
US4642876225,XLF,Financial Select Sector SPDR Fund,0.09
US4642877397,XLV,Health Care Select Sector SPDR Fund,0.11
US4642871846,XLC,Communication Services Select Sector SPDR Fund,0.12
US81369Y8030,XLE,Energy Select Sector SPDR Fund,0.05
# === ETFs Dividend ===
US8085248853,SCHD,Schwab U.S. Dividend Equity ETF,0.11
US92203J4076,VYM,Vanguard High Dividend Yield ETF,0.09
US4642874659,DVY,iShares Select Dividend ETF,0.08
# === ETFs Growth ===
US9229086823,VUG,Vanguard Growth ETF,0.15
US4642875854,IWF,iShares Russell 1000 Growth ETF,0.14

