# isin,symbol,name,acgr10_hint,price_hint
# === ETFs MSCI World (PEA) ===
FR0010655712,EWLD.PA,Amundi MSCI World UCITS ETF,0.10,520
FR0011550185,CW8.PA,Amundi MSCI World UCITS ETF (CW8),0.10,550
FR0011550177,CW8D.PA,Amundi MSCI World UCITS ETF Dist (CW8D),0.10,38
LU1681043599,PE500.PA,Amundi S&P 500 UCITS ETF (PEA),0.12,95
FR0010655753,PE500D.PA,Amundi S&P 500 UCITS ETF Dist (PEA),0.12,43
LU1437018168,PEUSA.PA,Amundi MSCI USA UCITS ETF (PEA),0.11,680
# === ETFs Europe (PEA) ===
FR0013412020,PEEJ.PA,Amundi MSCI Europe UCITS ETF (PEA),0.07,28
LU1681039366,PEEU.PA,Amundi MSCI Europe UCITS ETF (PEA),0.07,85
FR0007052782,CAC.PA,Lyxor CAC 40 UCITS ETF,0.07,7800
LU1834988351,SMAE.PA,Amundi STOXX Europe 600 UCITS ETF,0.07,92
# === ETFs Emerging Markets (PEA) ===
FR0011869353,PAEEM.PA,Amundi MSCI Emerging Markets UCITS ETF,0.05,22
FR0013412038,PEEM.PA,Amundi MSCI Emerging Markets (PEA),0.05,22
FR0013412285,PAASI.PA,Amundi MSCI AC Asia Pacific ex Japan UCITS ETF,0.06,23
# === ETFs Japan (PEA) ===
LU1681039481,PEJAP.PA,Amundi MSCI Japan UCITS ETF (PEA),0.06,34
# === ETFs Nasdaq/Tech (PEA) ===
LU1681038599,PANX.PA,Amundi Nasdaq-100 UCITS ETF (PEA),0.18,85
FR0010892216,UST.PA,Lyxor Nasdaq-100 UCITS ETF,0.17,68
# === ETFs Thématiques (PEA) ===
LU2023678878,PAWD.PA,Amundi MSCI World Information Technology (PEA),0.18,45
LU0533033667,HLTW.PA,Lyxor MSCI World Health Care ETF,0.09,55
# === ETFs ESG (PEA) ===
LU1437016972,WSRI.PA,Amundi MSCI World SRI UCITS ETF,0.10,110
FR0010524777,ESE.PA,BNP Paribas Easy STOXX Europe 600 ESG,0.08,25
# === ETFs Vanguard/iShares (non-PEA mais populaires) ===
IE00B4L5Y983,VWRL.AS,Vanguard FTSE All-World UCITS ETF,0.09,132
IE00B3XXRP09,EMIM.L,iShares Core MSCI EM IMI UCITS ETF,0.05,30
IE00B4L5YC18,IWDA.AS,iShares Core MSCI World UCITS ETF,0.10,95
IE00BK5BQT80,VWCE.DE,Vanguard FTSE All-World UCITS ETF Acc,0.09,135
IE00B3RBWM25,SWDA.L,iShares Core MSCI World UCITS ETF,0.10,98
IE00BYX2JD69,IUSQ.DE,iShares MSCI ACWI UCITS ETF,0.09,82
# === ETFs Obligations (diversification) ===
LU1437024729,APTS.PA,Amundi Prime Euro Govt Bonds 0-1Y (PEA),0.02,51
IE00B4WXJJ64,AGGH.L,iShares Core Global Aggregate Bond ETF,0.03,48

